wl,k
48.06,0.37628
48.15,0.37234
48.24,0.36705
48.34,0.36429
48.43,0.36428
48.53,0.36355
48.62,0.36322
48.72,0.36669
48.81,0.37461
48.91,0.38657
49.01,0.39598
49.1,0.4033
49.2,0.40552
49.3,0.40552
49.4,0.40456
49.49,0.40951
49.59,0.42169
49.69,0.43762
49.79,0.45702
49.89,0.47909
49.99,0.49318
50.09,0.49233
50.2,0.48822
50.3,0.49056
50.4,0.49777
50.5,0.50385
50.61,0.50677
50.71,0.50824
50.81,0.51132
50.92,0.50826
51.02,0.49449
51.13,0.47808
51.23,0.46648
51.34,0.45637
51.45,0.446
51.55,0.43554
51.66,0.42684
51.77,0.42354
51.88,0.42386
51.99,0.42497
52.09,0.42195
52.2,0.41455
52.31,0.41231
52.42,0.41451
52.54,0.41235
52.65,0.4067
52.76,0.40267
52.87,0.40227
52.98,0.40196
53.1,0.39985
53.21,0.39695
53.33,0.39627
53.44,0.39801
53.56,0.39638
53.67,0.39161
53.79,0.38733
53.91,0.38589
54.02,0.39062
54.14,0.40281
54.26,0.4181
54.38,0.42803
54.5,0.43012
54.62,0.42919
54.74,0.42919
54.86,0.43175
54.98,0.43546
55.1,0.43637
55.23,0.43474
55.35,0.4329
55.47,0.4329
55.6,0.43405
55.72,0.43198
55.85,0.42827
55.97,0.42849
56.1,0.43012
56.23,0.42965
56.36,0.42895
56.48,0.42686
56.61,0.42381
56.74,0.42145
56.87,0.41977
57,0.42287
57.14,0.42792
57.27,0.43011
57.4,0.43192
57.53,0.43838
57.67,0.44843
57.8,0.45752
57.94,0.46238
58.07,0.46364
58.21,0.46159
58.35,0.46091
58.48,0.46459
58.62,0.47388
58.76,0.4867
58.9,0.50163
59.04,0.5147
59.18,0.5228
59.32,0.52777
59.46,0.53352
59.61,0.54477
59.75,0.5522
59.9,0.54697
60.04,0.53117
60.19,0.5192
60.33,0.52167
60.48,0.53552
60.63,0.54929
60.78,0.55378
60.93,0.55209
61.08,0.54822
61.23,0.54394
61.38,0.54024
61.53,0.53779
61.68,0.53375
61.84,0.5308
61.99,0.53431
62.15,0.54241
62.3,0.5499
62.46,0.5546
62.62,0.55954
62.78,0.56487
62.94,0.56948
63.1,0.57044
63.26,0.56659
63.42,0.55957
63.58,0.55045
63.75,0.54273
63.91,0.53962
64.07,0.53971
64.24,0.53914
64.41,0.54008
64.58,0.5466
64.74,0.5582
64.91,0.56928
65.08,0.58104
65.25,0.5942
65.43,0.60736
65.6,0.61859
65.77,0.62818
