wl,k
14403,0.0395
14564,0.0507
14730,0.0517
14899,0.0374
15072,0.0234
15250,0.0175
15431,0.0159
15617,0.0324
15808,0.0734
16003,0.0889
16203,0.0564
16408,0.03
16618,0.0244
16834,0.0249
17056,0.0295
17283,0.0363
17517,0.0458
17757,0.0514
18003,0.0553
18257,0.0597
18518,0.0563
18786,0.048
19062,0.0419
19347,0.0378
19640,0.0311
19942,0.0322
