wl,k
5786.7,0.545
5812.7,0.529
5838.9,0.313
5865.3,0.121
5891.9,0.0469
5918.8,0.029
5946,0.0238
5973.4,0.0184
6001.1,0.0136
6029,0.0104
6057.1,0.00875
6085.6,0.00769
6114.3,0.00742
6143.3,0.00777
6172.5,0.00937
6202,0.0102
6231.9,0.00874
6262,0.00737
6292.4,0.00942
6323.1,0.0146
6354.1,0.0149
6385.4,0.00993
6417,0.00714
6448.9,0.00623
6481.1,0.00603
6513.7,0.00703
6546.6,0.00815
6579.8,0.00935
6613.4,0.0151
6647.3,0.02
6681.6,0.0139
6716.2,0.0108
6751.2,0.0184
6786.5,0.0274
6822.3,0.0328
6858.3,0.0377
6894.8,0.0394
6931.7,0.0349
6969,0.0268
7006.6,0.021
7044.7,0.0419
7083.2,0.0842
7122.1,0.0853
7161.5,0.0531
7201.3,0.0409
7241.5,0.0556
7282.2,0.0673
7323.3,0.0519
7364.9,0.0303
7407,0.0291
7449.6,0.0381
7492.6,0.0406
7536.2,0.0441
7580.3,0.0635
7624.9,0.101
7670,0.175
7715.6,0.291
7761.8,0.404
7808.6,0.492
7855.9,0.579
7903.8,0.629
7952.3,0.582
8001.4,0.495
8051.1,0.371
8101.4,0.197
8152.4,0.0803
8204,0.0417
8256.2,0.0295
8309.1,0.0228
8362.8,0.0193
8417.1,0.0206
8472.1,0.0287
8527.8,0.0337
8584.3,0.0311
8641.5,0.0365
8699.5,0.0652
8758.3,0.116
8817.9,0.191
8878.3,0.286
8939.5,0.342
9001.6,0.37
9064.5,0.408
9128.4,0.357
9193.1,0.214
9258.8,0.103
9325.4,0.049
9393,0.0331
9461.5,0.0392
9531.1,0.0535
9601.7,0.0618
9673.3,0.0635
9746.1,0.092
9819.9,0.114
9894.9,0.0695
9971,0.0225
10048,0.0185
10127,0.0288
10207,0.0395
10288,0.0399
10370,0.0306
10453,0.0216
10538,0.0169
10625,0.0159
10713,0.0157
10802,0.0149
10893,0.0154
10985,0.0209
11079,0.03
11174,0.0357
11272,0.0437
11370,0.0612
11471,0.0631
11573,0.0413
11678,0.0276
11784,0.0277
11892,0.0267
12002,0.0238
12114,0.0217
12229,0.0215
12345,0.0215
12464,0.023
12585,0.025
12708,0.02
12834,0.0141
12962,0.0137
13093,0.013
13227,0.0152
13363,0.0286
13502,0.153
13645,0.361
13790,0.35
13938,0.132
14089,0.0233
14244,0.017
14403,0.00914
14564,0.00878
14730,0.00848
14899,0.00682
15072,0.00577
15250,0.00566
15431,0.0058
15617,0.00901
15808,0.0105
16003,0.00686
16203,0.00416
16408,0.00545
16618,0.0077
16834,0.00635
17056,0.00491
17283,0.00416
17517,0.00565
17757,0.00961
18003,0.0121
18257,0.0139
18518,0.0182
18786,0.0223
19062,0.0233
19347,0.0261
19640,0.0363
19942,0.0448
