Wavelength,Decadic_Abs_coef
780.0,7197.14692
780.5,7175.671
781.0,7154.66666
781.5,7134.14111
782.0,7114.10153
782.5,7094.55513
783.0,7075.50911
783.5,7056.97066
784.0,7038.94698
784.5,7021.44525
785.0,7004.4727
785.5,6988.03649
786.0,6972.14384
786.5,6956.80195
787.0,6942.018
787.5,6927.79918
788.0,6914.14747
788.5,6901.05201
789.0,6888.50001
789.5,6876.47863
790.0,6864.97509
790.5,6853.97657
791.0,6843.47026
791.5,6833.44336
792.0,6823.88306
792.5,6814.77655
793.0,6806.11102
793.5,6797.87366
794.0,6790.05167
794.5,6782.63223
795.0,6775.60255
795.5,6768.94981
796.0,6762.6612
796.5,6756.72393
797.0,6751.12516
797.5,6745.85211
798.0,6740.89197
798.5,6736.23191
799.0,6731.85915
799.5,6727.76086
800.0,6723.92424
800.5,6720.33649
801.0,6716.98479
801.5,6713.85634
802.0,6710.93833
802.5,6708.21795
803.0,6705.68239
803.5,6703.31885
804.0,6701.11451
804.5,6699.05658
805.0,6697.13224
805.5,6695.32868
806.0,6693.63309
806.5,6692.03268
807.0,6690.51462
807.5,6689.06612
808.0,6687.67436
808.5,6686.32653
809.0,6685.00984
809.5,6683.71146
810.0,6682.4186
810.5,6681.11844
811.0,6679.79818
811.5,6678.44501
812.0,6677.04612
812.5,6675.5887
813.0,6674.05994
813.5,6672.44704
814.0,6670.73719
814.5,6668.91759
815.0,6666.97541
815.5,6664.89786
816.0,6662.67213
816.5,6660.2854
817.0,6657.72488
817.5,6654.97775
818.0,6652.03121
818.5,6648.87244
819.0,6645.48865
819.5,6641.86701
820.0,6637.99473
820.5,6633.859
821.0,6629.447
821.5,6624.74593
822.0,6619.74299
822.5,6614.42536
823.0,6608.78023
823.5,6602.79481
824.0,6596.45627
824.5,6589.75182
825.0,6582.66864
825.5,6575.19393
826.0,6567.31487
826.5,6559.02052
827.0,6550.31561
827.5,6541.21277
828.0,6531.72468
828.5,6521.86402
829.0,6511.64349
829.5,6501.07578
830.0,6490.17356
830.5,6478.94954
831.0,6467.41638
831.5,6455.58678
832.0,6443.47343
832.5,6431.08902
833.0,6418.44622
833.5,6405.55773
834.0,6392.43623
834.5,6379.09441
835.0,6365.54496
835.5,6351.80057
836.0,6337.87391
836.5,6323.77768
837.0,6309.52456
837.5,6295.12725
838.0,6280.59842
838.5,6265.95077
839.0,6251.19698
839.5,6236.34973
840.0,6221.42172
840.5,6206.42563
841.0,6191.37415
841.5,6176.27996
842.0,6161.15575
842.5,6146.01422
843.0,6130.86803
843.5,6115.72989
844.0,6100.61248
844.5,6085.52848
845.0,6070.49058
845.5,6055.51147
846.0,6040.60384
846.5,6025.78037
847.0,6011.05374
847.5,5996.43666
848.0,5981.94179
848.5,5967.58184
849.0,5953.36948
849.5,5939.3174
850.0,5925.43829
850.5,5911.74484
851.0,5898.24973
851.5,5884.96565
852.0,5871.90528
852.5,5859.08132
853.0,5846.50645
853.5,5834.19335
854.0,5822.15086
854.5,5810.37764
855.0,5798.87064
855.5,5787.62681
856.0,5776.64311
856.5,5765.91649
857.0,5755.44392
857.5,5745.22233
858.0,5735.2487
858.5,5725.51998
859.0,5716.03312
859.5,5706.78508
860.0,5697.77282
860.5,5688.99328
861.0,5680.44343
861.5,5672.12023
862.0,5664.02062
862.5,5656.14156
863.0,5648.48002
863.5,5641.03294
864.0,5633.79728
864.5,5626.76999
865.0,5619.94804
865.5,5613.32838
866.0,5606.90796
866.5,5600.68374
867.0,5594.65268
867.5,5588.81173
868.0,5583.15784
868.5,5577.68798
869.0,5572.3991
869.5,5567.28815
870.0,5562.35209
870.5,5557.58788
871.0,5552.99246
871.5,5548.56281
872.0,5544.29587
872.5,5540.1886
873.0,5536.23795
873.5,5532.44088
874.0,5528.79435
874.5,5525.29531
875.0,5521.94072
875.5,5518.72754
876.0,5515.65271
876.5,5512.71319
877.0,5509.90595
877.5,5507.22794
878.0,5504.67611
878.5,5502.24741
879.0,5499.93881
879.5,5497.74726
880.0,5495.66972
880.5,5493.70313
881.0,5491.84446
881.5,5490.09067
882.0,5488.43871
882.5,5486.88552
883.0,5485.42808
883.5,5484.06334
884.0,5482.78825
884.5,5481.59976
885.0,5480.49484
885.5,5479.47043
886.0,5478.52351
886.5,5477.65101
887.0,5476.8499
887.5,5476.11713
888.0,5475.44965
888.5,5474.84444
889.0,5474.29843
889.5,5473.80858
890.0,5473.37186
890.5,5472.98521
891.0,5472.6456
891.5,5472.34998
892.0,5472.09529
892.5,5471.87851
893.0,5471.69659
893.5,5471.54647
894.0,5471.42512
894.5,5471.3295
895.0,5471.25655
895.5,5471.20324
896.0,5471.16652
896.5,5471.14334
